country,year,Urban_pct
Seychelles,2017,43.49686444
Thailand,2017,49.23119736
Turkiye,2017,88.03204727
USA,2017,80.40186784
Uzbekistan,2017,50.67873764
Viet Nam,2017,33.3625963
South Africa,2017,63.33110783
Australia,2018,87.22676808
Austria,2018,68.10467872
Belgium,2018,86.88834495
Bulgaria,2018,73.6002121
Brazil,2018,86.44207199
Canada,2018,81.55003416
Switzerland,2018,79.29222016
Chile,2018,87.96204938
China,2018,61.50019836
Colombia,2018,77.28048166
Costa Rica,2018,76.55443084
Cyprus,2018,66.82555305
Czech Republic,2018,72.84987444
Germany,2018,81.14230362
Denmark,2018,88.10597623
Spain,2018,79.55800578
Estonia,2018,69.28035329
Finland,2018,72.34234677
France,2018,78.67144325
United Kingdom,2018,82.44656576
Greece,2018,78.04906568
Croatia,2018,56.0931701
Hungary,2018,70.47117615
